class,cap_shape,cap_color,odor,gill_spacing,gill_size,gill_color,stalk_color,spore_color
1,convex,brown,pungent,close,narrow,black,white,black
0,convex,yellow,almond,close,broad,black,white,brown
0,bell,white,anise,close,broad,brown,white,brown
1,convex,white,pungent,close,narrow,brown,white,black
0,convex,gray,none,crowded,broad,black,white,brown
0,convex,yellow,almond,close,broad,brown,white,black
0,bell,white,almond,close,broad,gray,white,black
0,bell,white,anise,close,broad,brown,white,brown
1,convex,white,pungent,close,narrow,pink,white,black
0,bell,yellow,almond,close,broad,gray,white,black
0,convex,yellow,anise,close,broad,gray,white,brown
0,convex,yellow,almond,close,broad,brown,white,black
0,bell,yellow,almond,close,broad,white,white,brown
1,convex,white,pungent,close,narrow,black,white,brown
0,convex,brown,none,crowded,broad,brown,white,black
0,sunken,gray,none,close,narrow,black,white,brown
0,flat,white,none,crowded,broad,black,white,brown
1,convex,brown,pungent,close,narrow,brown,white,black
1,convex,white,pungent,close,narrow,brown,white,brown
1,convex,brown,pungent,close,narrow,black,white,brown
0,bell,yellow,almond,close,broad,black,white,brown
1,convex,brown,pungent,close,narrow,brown,white,brown
0,bell,yellow,anise,close,broad,black,white,brown
0,bell,white,almond,close,broad,white,white,brown
0,bell,white,anise,close,broad,gray,white,black
1,flat,white,pungent,close,narrow,brown,white,brown
0,convex,yellow,almond,close,broad,brown,white,brown
0,convex,white,anise,close,broad,white,white,brown
0,flat,brown,none,close,narrow,black,white,black
0,convex,yellow,almond,crowded,narrow,brown,white,brown
0,bell,yellow,anise,close,broad,gray,white,brown
1,convex,white,pungent,close,narrow,black,white,brown
0,convex,yellow,anise,close,broad,brown,white,brown
0,convex,brown,anise,close,broad,pink,white,brown
0,bell,yellow,anise,close,broad,brown,white,brown
0,convex,yellow,anise,crowded,narrow,white,white,brown
0,sunken,gray,none,close,narrow,black,white,black
1,convex,brown,pungent,close,narrow,white,white,brown
0,convex,yellow,almond,crowded,narrow,pink,white,brown
0,bell,yellow,anise,close,broad,black,white,black
0,bell,yellow,almond,close,broad,brown,white,brown
0,convex,yellow,anise,close,broad,brown,white,black
0,convex,brown,none,close,narrow,gray,white,black
1,convex,white,pungent,close,narrow,pink,white,brown
0,convex,yellow,almond,close,broad,white,white,black
0,convex,white,almond,close,broad,brown,white,brown
0,convex,yellow,anise,close,broad,black,white,black
0,convex,white,anise,close,broad,white,white,brown
0,convex,yellow,anise,close,broad,brown,white,brown
0,flat,yellow,anise,close,broad,white,white,black
0,convex,brown,almond,close,broad,white,white,black
0,convex,white,anise,close,broad,black,white,black
0,bell,white,anise,close,broad,black,white,brown
1,convex,brown,pungent,close,narrow,black,white,brown
1,convex,white,pungent,close,narrow,black,white,black
0,bell,yellow,almond,close,broad,white,white,black
0,flat,gray,none,crowded,broad,brown,white,brown
0,bell,white,almond,close,broad,white,white,brown
0,convex,yellow,anise,close,broad,black,white,black
0,convex,brown,almond,close,broad,pink,white,black
0,sunken,gray,none,close,narrow,black,white,brown
0,bell,yellow,almond,close,broad,black,white,brown
0,bell,yellow,anise,close,broad,gray,white,brown
0,bell,yellow,anise,close,broad,gray,white,brown
0,bell,white,anise,close,broad,brown,white,brown
0,flat,brown,none,crowded,broad,black,white,black
0,convex,white,anise,close,broad,brown,white,black
0,flat,yellow,almond,close,broad,white,white,brown
0,convex,yellow,almond,close,broad,white,white,black
0,convex,gray,none,close,narrow,pink,white,brown
0,flat,yellow,anise,crowded,narrow,pink,white,brown
0,bell,white,anise,close,broad,gray,white,brown
0,flat,yellow,anise,crowded,narrow,white,white,brown
0,convex,brown,almond,close,broad,pink,white,black
0,bell,yellow,almond,close,broad,black,white,black
0,flat,yellow,anise,crowded,narrow,pink,white,brown
0,convex,white,anise,crowded,narrow,brown,white,purple
0,flat,brown,anise,close,broad,pink,white,brown
1,convex,brown,pungent,close,narrow,white,white,brown
0,flat,brown,almond,close,broad,brown,white,brown
0,convex,brown,none,crowded,broad,black,white,brown
1,convex,white,pungent,close,narrow,white,white,black
0,flat,gray,none,close,narrow,brown,white,brown
0,convex,gray,none,crowded,broad,brown,white,brown
0,convex,yellow,anise,close,broad,white,white,black
0,convex,brown,none,crowded,broad,black,white,black
0,bell,white,almond,close,broad,white,white,black
0,convex,white,anise,close,broad,brown,white,brown
0,flat,brown,anise,close,broad,white,white,black
0,sunken,brown,none,close,narrow,brown,white,brown
0,convex,brown,none,close,narrow,brown,white,brown
0,bell,white,anise,close,broad,black,white,black
0,convex,yellow,almond,close,broad,gray,white,black
0,convex,yellow,anise,close,broad,gray,white,black
0,convex,brown,none,crowded,broad,brown,white,brown
0,convex,white,almond,close,broad,gray,white,brown
0,flat,brown,anise,close,broad,pink,white,brown
0,convex,yellow,almond,close,broad,brown,white,black
0,bell,white,almond,close,broad,gray,white,brown
0,convex,white,almond,close,broad,gray,white,black
0,convex,brown,none,crowded,broad,pink,white,black
0,bell,yellow,anise,close,broad,brown,white,black
0,flat,yellow,anise,close,broad,white,white,brown
0,convex,yellow,almond,close,broad,brown,white,black
0,bell,white,anise,close,broad,gray,white,brown
0,convex,yellow,almond,close,broad,brown,white,black
0,convex,yellow,almond,close,broad,white,white,brown
0,bell,white,anise,close,broad,brown,white,black
0,bell,white,almond,close,broad,gray,white,brown
0,convex,yellow,almond,close,broad,black,white,black
0,convex,yellow,anise,close,broad,white,white,black
0,sunken,gray,none,close,narrow,gray,white,black
0,convex,white,almond,crowded,narrow,white,white,purple
0,convex,yellow,almond,close,broad,brown,white,black
1,convex,white,pungent,close,narrow,brown,white,brown
0,convex,yellow,anise,close,broad,pink,white,brown
0,sunken,gray,none,close,narrow,pink,white,brown
0,convex,yellow,anise,close,broad,white,white,black
0,convex,yellow,anise,crowded,narrow,pink,white,purple
0,sunken,brown,none,close,narrow,black,white,brown
1,convex,white,pungent,close,narrow,black,white,black
0,convex,white,almond,close,broad,gray,white,brown
1,flat,brown,pungent,close,narrow,pink,white,black
0,flat,gray,none,crowded,broad,black,white,brown
0,convex,yellow,anise,close,broad,gray,white,brown
0,convex,white,none,crowded,broad,brown,white,black
0,bell,yellow,almond,close,broad,white,white,brown
0,flat,gray,none,crowded,broad,chocolate,white,brown
0,convex,white,anise,close,broad,brown,white,black
0,bell,white,anise,close,broad,brown,white,brown
0,bell,white,anise,close,broad,white,white,brown
0,bell,white,anise,close,broad,white,white,brown
0,flat,white,anise,crowded,narrow,white,white,purple
0,convex,yellow,anise,close,broad,gray,white,black
0,flat,white,almond,crowded,narrow,pink,white,brown
1,convex,white,pungent,close,narrow,white,white,brown
0,flat,white,anise,crowded,narrow,white,white,brown
0,convex,yellow,almond,close,broad,brown,white,brown
1,convex,brown,pungent,close,narrow,pink,white,brown
0,bell,yellow,anise,close,broad,white,white,brown
0,convex,brown,almond,close,broad,white,white,black
0,bell,yellow,anise,close,broad,gray,white,black
0,sunken,brown,none,close,narrow,black,white,brown
0,flat,brown,almond,close,broad,white,white,black
0,convex,yellow,almond,close,broad,black,white,black
0,convex,gray,none,crowded,broad,black,white,black
0,flat,white,none,crowded,broad,black,white,brown
0,convex,yellow,anise,close,broad,white,white,brown
0,bell,yellow,anise,close,broad,black,white,black
0,bell,white,almond,close,broad,gray,white,black
0,convex,white,almond,close,broad,white,white,brown
0,convex,brown,none,crowded,broad,pink,white,brown
0,convex,white,anise,close,broad,gray,white,brown
0,sunken,brown,none,close,narrow,black,white,black
0,convex,white,almond,crowded,narrow,white,white,purple
0,convex,brown,anise,close,broad,white,white,black
0,bell,yellow,almond,close,broad,black,white,brown
0,convex,white,almond,close,broad,black,white,brown
0,bell,white,almond,close,broad,brown,white,black
0,bell,yellow,almond,close,broad,gray,white,black
0,bell,yellow,anise,close,broad,gray,white,black
0,bell,yellow,almond,close,broad,brown,white,black
0,convex,brown,none,close,narrow,black,white,brown
0,flat,brown,anise,close,broad,brown,white,brown
0,convex,white,almond,close,broad,black,white,brown
0,flat,yellow,anise,close,broad,white,white,brown
0,bell,white,almond,close,broad,white,white,brown
0,bell,white,almond,close,broad,white,white,black
0,convex,brown,anise,close,broad,white,white,black
0,bell,white,almond,close,broad,black,white,black
0,convex,gray,none,close,narrow,gray,white,brown
0,bell,yellow,anise,close,broad,black,white,brown
0,convex,yellow,anise,crowded,narrow,brown,white,purple
0,bell,yellow,almond,close,broad,white,white,black
0,flat,yellow,anise,close,broad,pink,white,brown
0,bell,white,anise,close,broad,white,white,black
0,bell,white,almond,close,broad,black,white,black
0,bell,yellow,almond,close,broad,gray,white,brown
0,convex,yellow,anise,close,broad,gray,white,brown
0,bell,yellow,anise,close,broad,gray,white,brown
1,convex,white,pungent,close,narrow,pink,white,brown
0,sunken,brown,none,close,narrow,gray,white,brown
0,flat,brown,none,close,narrow,gray,white,black
0,convex,yellow,almond,close,broad,gray,white,brown
0,flat,brown,almond,close,broad,pink,white,black
1,convex,white,pungent,close,narrow,black,white,black
0,bell,white,anise,close,broad,gray,white,brown
0,flat,gray,none,close,narrow,pink,white,black
0,bell,yellow,anise,close,broad,gray,white,brown
0,convex,brown,almond,close,broad,white,white,brown
0,convex,white,none,crowded,broad,pink,white,black
0,convex,white,anise,crowded,narrow,white,white,brown
0,bell,white,anise,close,broad,white,white,brown
0,flat,yellow,almond,crowded,narrow,white,white,brown
0,convex,yellow,almond,close,broad,black,white,brown
0,flat,gray,none,close,narrow,gray,white,brown
0,bell,yellow,almond,close,broad,brown,white,black
0,convex,white,anise,close,broad,gray,white,brown
0,convex,white,anise,close,broad,brown,white,brown
0,flat,white,almond,crowded,narrow,brown,white,brown
0,convex,yellow,anise,close,broad,white,white,brown
0,bell,white,anise,close,broad,white,white,black
0,convex,white,almond,close,broad,gray,white,black
0,convex,white,none,crowded,broad,chocolate,white,black
0,flat,brown,anise,close,broad,brown,white,black
1,convex,white,pungent,close,narrow,black,white,brown
0,bell,white,almond,close,broad,brown,white,brown
0,bell,white,almond,close,broad,black,white,black
0,bell,white,anise,close,broad,brown,white,brown
0,bell,white,almond,close,broad,white,white,black
0,convex,yellow,almond,close,broad,white,white,black
0,bell,white,anise,close,broad,white,white,black
0,convex,yellow,almond,crowded,narrow,brown,white,brown
0,convex,gray,none,close,narrow,brown,white,brown
